,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
123.901@138.35,468760.13619,504501.54405,435166.24091,454552.86821,516639.71089,428178.58193,434148.07452,411207.90525,461976.2247,418947.47465,585504.00969,422866.8806,392008.37938,474634.9352,400227.21387,416960.49973,549259.2233,436781.138,470655.13746,424608.14558,400939.5226,400195.05307,466502.78893,369147.80128,424874.42754,664011.80618,482038.49296,421740.86961,446768.94062
123.9359@637.45,10984.15264,11402.74164,14651.64515,458649.17828,515569.15137,16829.55147,16168.48721,19379.4684,10654.38106,17580.77919,11091.38265,12558.92944,16593.78048,10385.08837,18308.20997,11086.94341,12329.60381,17696.85668,11819.8239,17120.20956,20924.66642,16308.4708,17825.40917,18419.06494,17127.70112,7930.21587,462060.33068,17648.41313,18004.73535
124.9655@637.36,7426.44367,6782.28887,9893.119,6820.89589,5091.28117,10997.66522,11337.15159,11669.89472,7352.10685,10904.66745,6664.1801,8051.63958,12162.34056,6960.21198,11122.81423,8438.86465,6500.61603,11706.70801,7477.27078,10548.06149,13275.09938,3542.35697,10894.49325,12320.6108,10778.59783,4985.17043,5837.66708,10883.68821,11069.98269
125.8988@638.07,356180.95655,306693.73661,303275.77944,53220.99095,427383.0586,189278.3064,270591.94731,230270.24247,323627.28262,196932.55007,351519.94107,319599.12525,216677.40123,350469.34476,181756.04359,337519.97488,308613.25751,191604.02665,326863.39219,247932.96312,246917.26827,198656.36927,277738.80538,211293.10182,180593.40909,472422.81405,386771.23343,195973.60331,242714.14208
127.0003@641.56,60651.38463,40545.80292,48781.73313,65035.15379,19706.90945,43492.63701,18468.77424,42057.19252,19176.32219,42198.54079,62478.41962,50354.0484,40567.17218,57104.00731,41725.36922,53276.98993,2663.15467,43903.25097,55406.25805,45719.86389,40990.90204,41627.59233,43794.78915,40066.56251,40302.04934,19349.56886,2899.85133,40448.30015,40595.31974
127.0011@31.73,297465.10664,263660.47173,277969.2571,304579.94453,24477.22707,285313.76733,305704.78216,31243.70873,293781.55046,130704.8035,299100.45624,292146.1809,278706.61446,280691.11386,31206.22682,306236.33564,296377.26402,265653.48177,274964.75146,22516.37999,275060.74768,138391.30039,306643.22692,225551.86629,116696.15091,319024.00149,301501.23498,288011.94073,214512.65385
127.0512@31.02,9222.0478,17367.83504,14654.04748,10299.41502,16792.84336,7912.82516,17708.82741,12697.51044,13590.09147,4370.73809,19377.75862,14503.17212,15492.97201,16571.74133,10776.08931,20683.46873,9236.93098,5507.58392,23337.29216,13146.62231,15207.5598,4627.99696,9132.1874,11218.09734,12938.31931,19144.7372,7823.53509,22827.45145,8121.95501
128.0344@497.92,88030.04968,60258.21756,126834.54211,62437.73794,31853.21797,153880.18826,83765.66273,158925.80122,96547.29704,144628.39775,70608.71743,101401.44502,155603.87971,71366.34015,150158.38021,92452.55006,92266.13622,96184.072,89988.29837,99426.4967,105224.13428,153167.86426,80431.10943,158196.77687,134170.40768,27449.1282,46564.28576,115895.85019,122246.54731
128.0352@29.49,8696.74923,102594.60128,250652.79743,133451.55037,207657.70283,79888.50893,209464.75019,142669.29845,80047.62466,21641.8359,84501.91188,92250.22089,186431.40028,81083.61208,141866.2053,155879.37878,223357.55214,178719.25459,137808.64615,112497.2098,279960.15778,10255.47508,148994.52272,186545.41045,8942.83202,58725.72739,147368.03948,145902.76227,32628.17919
129.0912@195.42,33714.12667,19489.19752,24938.42387,36456.45491,24160.43076,16975.65639,23836.55442,32349.15298,23504.17326,23590.06668,18856.28293,3905.91521,16244.27549,34436.34442,34988.87173,18192.2299,24976.2192,33999.23953,17403.62416,16929.52605,30266.66995,32092.53517,28381.16851,34935.72967,35265.31228,23739.96685,24994.39088,30810.18367,23971.34652
