,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
237.2218@479.02,63798.89126,110286.32502,60611.50908,45675.64844,93417.92922,28349.36819,79825.27927,32646.72681,45083.18936,26262.20116,23906.43096,64083.89284,57565.79113,42105.19934,32159.41852,47483.20964,101125.64074,83229.95349,58780.98963,72502.71441,53380.61061,15501.35071,102579.80215,89091.75466,28423.02228,38971.58567,61928.73826,66050.60281,30405.51355
740.4532@474.51,9704.76101,57201.00727,33598.13368,138408.02818,44396.4341,41105.22237,122469.2142,127327.6537,97634.98183,168246.40615,120076.52428,71576.56687,81698.00217,55872.72705,125261.9272,125634.79285,56826.75064,37776.06465,14129.16532,79913.49545,100102.15079,160076.10858,114903.08509,33940.39044,27315.15857,51666.10852,58890.33156,80244.77845,125553.6923
618.7367@154.93,24246.85614,67238.35683,31231.42929,93257.33251,5895.22789,41237.14628,62946.98786,25754.35005,58088.34311,19961.56779,18430.91138,70884.58762,76121.1169,52675.30708,42855.38154,21571.53198,56721.34986,59269.03364,13697.97878,29777.97878,44750.5181,8032.4977,70440.73299,54652.35388,67945.72736,31198.97708,26203.51819,24816.69617,9442.15934
571.5187@487.96,16819.34651,33321.20015,13977.59806,12429.71017,24075.21822,4114.9453,19349.39858,3505.90771,9224.07537,3921.96575,1043.00844,13116.92201,8264.6085,10863.96103,1959.09368,9436.60029,23375.16551,25595.48627,7685.88227,17219.89673,13005.27695,105.17769,26851.30596,22275.12151,2448.47532,8984.57825,13246.98967,15922.05697,5095.76502
617.734@154.91,88754.04584,264612.17239,129733.7724,368916.2041,26175.23103,172287.58775,246810.03807,106499.09434,222789.23609,88171.00311,72731.95277,281067.84582,309997.86997,205881.19972,168322.22481,83452.86292,228076.59009,232710.15271,50558.00313,113177.88475,174505.26576,33031.46076,278047.74223,236158.39309,269270.41456,127391.27641,108540.53492,95515.75222,42668.84044
641.4324@478.67,20335.06535,22784.03486,23803.6796,13916.59062,12859.2004,16545.08684,16022.64703,10926.21389,14122.95138,9692.29654,9829.27795,11326.34355,13965.58465,15543.29515,7483.82296,13963.69012,13910.25608,25866.77041,18219.81537,15038.79382,8419.43901,2285.86648,17180.98963,24026.81724,9220.90888,12337.17539,16093.0234,21370.05169,4545.98618
241.2166@435.88,171708.40986,187106.49945,206906.95171,154569.99416,241983.16827,129169.17545,199534.32175,142787.77172,156892.64585,118871.58641,139454.59584,161616.86805,176984.27262,193590.14623,156139.8703,174750.77966,572484.70755,250856.03888,199457.04216,271062.65032,174970.19486,118125.7407,210209.41934,186370.51834,135898.22276,161223.02545,209532.90783,168520.74628,137881.05852
228.2044@415.21,246179.97378,346648.05005,263939.52333,147807.22128,404242.69548,100078.92019,355595.66075,143851.09991,143908.47416,93556.41207,104396.01926,221530.70488,239717.62858,193026.88676,111982.22627,174174.36734,1048867.05473,487156.00215,270905.77725,289945.37578,223898.62112,78980.70943,477783.67204,332065.44022,99583.73003,191343.01305,334550.0652,270388.87467,181259.99201
941.7834@389.48,104109.26016,124893.1796,110790.70148,120428.2062,125308.86692,103039.89686,136527.62765,120980.20757,90301.36474,71461.178,136839.68405,120486.46125,115108.1613,128328.73441,106550.84611,123605.94864,94804.68405,86615.45775,125589.53283,107345.81112,131297.02805,80649.27277,100000.69761,95628.99981,97203.3978,113990.60315,93321.0788,100382.95196,102013.02983
370.18@488.6,36380.98099,50493.13027,31033.23114,31385.41762,51500.14658,10194.99964,46017.40409,21309.43772,29845.79056,15408.48148,16330.90905,42465.97982,32095.72589,30863.03378,24084.43152,34100.59966,54372.18878,39993.60249,37872.41769,41510.77368,33987.91613,8908.55526,45203.36791,35135.38215,15745.4541,30692.15992,34490.52765,29195.40075,21500.60249
459.3453@501.2,21396.80102,11557.72501,29750.02179,13811.68221,6554.20018,16837.25457,23117.698,24452.07406,34250.66735,4921.83727,30670.92576,10127.31862,48387.48277,21056.42216,51601.76208,42221.02252,14246.24377,4359.50435,48346.63833,4339.89143,47919.60316,6899.70964,11658.34313,8263.75392,18386.90054,22878.66065,14862.63848,81934.60081,30756.82132
