,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
130.0864@61.14,288217.25746,250698.08628,291232.39932,105653.14559,266086.92467,316958.70362,352924.04791,142579.55556,391991.9775,317048.07887,256290.97677,268287.39452,99466.37041,326273.2568,338241.90124,174527.1646,87715.81973,317148.70537,356767.01738,236109.40107,332093.92479,374154.37275,397436.34557,68150.97168,265357.40864,397164.838,364732.67675,171629.7369,455380.49432
131.0822@31.93,28668.30869,19542.22346,32046.14478,17397.87294,39516.39174,26808.58938,42759.81517,26553.14855,33743.64983,25582.20854,30157.38304,22612.52959,3004.97994,27900.89371,34645.44348,29200.39555,20067.02756,30289.62313,27855.93177,27813.44505,35559.21005,27960.62995,29038.65492,9323.9162,21057.09343,26007.20912,35632.72764,32795.51151,24776.13573
131.0896@61.41,14909.4675,17672.95836,19485.48953,6906.54941,18124.89668,20631.66163,23042.54381,9390.89505,27597.9371,21016.3536,17120.45658,18570.7779,5833.15324,18263.01855,23430.75971,10383.66261,6234.85863,21946.53455,24413.66051,14533.40479,22549.21048,24919.63925,27641.6604,3654.56985,18095.76566,25468.04003,25364.22187,12525.00812,28434.98163
132.8669@136.74,259583.43616,136450.09233,239099.68217,247128.57895,250367.00649,222221.50093,379061.45971,202468.183,186747.61349,207009.72865,257401.51352,226974.31998,262437.69909,234770.34807,284936.01158,259328.33496,182782.74374,260942.51589,315905.87347,291908.16656,238671.37737,294091.26629,249725.1588,212840.22952,302244.70781,212528.96898,182087.05363,215444.93869,187428.08943
132.8992@567.71,64362.0271,306282.45651,97084.7052,88586.1928,107030.76466,90619.3704,93562.2145,79962.12412,365918.14889,85735.42019,129610.863,338762.63772,76402.68315,186816.49207,126431.31653,87220.12998,137171.96143,9352.18423,84959.79172,143111.14692,144298.07825,88249.10931,96920.04937,143215.64254,106647.95327,70760.38704,65846.37874,79588.90019,87818.8146
132.9218@635.53,316925.13269,669292.17258,423252.98108,1254804.75307,361984.43099,1091366.56406,416634.78004,490514.4105,1254531.87426,520936.28366,604005.06139,335824.46298,1033150.70302,322200.62356,360493.14816,305405.4387,505534.19435,363671.52316,345398.60924,396413.51738,404828.1424,1084498.90188,567864.10423,480028.90766,281182.47819,593909.71757,957189.41657,1002297.3022,538035.64496
132.9224@549.07,235240.44122,540411.11749,325410.98672,1275048.84034,309210.96847,398084.38853,144364.36079,451658.91579,1236181.2592,11067.29129,417899.9395,259682.75545,693994.24361,224721.93298,9593.82619,183005.6315,429076.63188,271622.56771,194440.2696,5081.40163,6708.31387,1092998.58014,468612.4681,362761.15142,12006.03701,400865.12583,499019.51868,756545.87255,350372.87347
132.981@652.92,285491.35315,291368.87421,272824.87644,280745.62938,288512.4119,291232.43707,307875.73965,262398.61926,301436.88647,276479.84489,264784.05068,288342.09677,270854.91796,289620.05938,294718.36773,304505.36721,274255.85187,285257.49529,272611.29727,292081.04152,285435.06554,272141.91376,262284.90741,272838.70624,283009.56681,278662.56353,282223.86755,275096.19513,283989.74712
133.9224@635.22,26622.21146,57492.11933,36101.68464,109429.7386,33217.36925,98873.38068,22723.91554,40071.09923,110488.06077,42369.69507,47074.36212,28421.3532,93611.27516,27558.25214,31375.36899,27844.41944,38825.2118,32394.6983,30275.9929,36310.71653,35795.81988,88683.52131,40063.06893,36312.27229,24734.38435,42416.43693,80952.26765,89804.87691,38643.43953
134.8644@136.92,267941.14192,160570.73347,274307.47018,230066.83029,273850.63337,309755.49208,413512.85914,246786.21105,233699.91548,226124.24093,288281.50078,251975.05682,241915.81861,298947.22092,333234.3319,310136.74812,252333.30047,286677.90529,317253.03706,344623.67684,252113.52506,332854.41034,345442.5143,240224.59492,377483.26463,254784.7342,232363.80119,249494.12342,218889.09446
