,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
597.3029@373.78,38449.47326,23134.02953,17466.55714,76531.2485,18800.10599,43458.79604,64801.1143,24601.16629,66818.00246,29086.3576,130814.34789,46680.25279,51336.58563,34999.25585,42144.73888,70369.66791,31087.30319,30003.71244,41965.09968,15766.80793,50581.87382,36224.99962,11972.38449,40129.65787,28741.63229,87330.10177,13176.05412,12256.04298,32087.92786,34085.85114
263.2375@488.1,60362.23553,53300.04516,11168.90461,31083.89648,47678.03643,68874.96746,75958.88637,45987.04377,17128.76861,62907.84531,41297.51825,76935.2463,35408.20795,38854.52243,48290.87668,21249.48546,40814.70916,33667.00225,22030.10234,17965.37977,46503.47684,32903.51637,5491.69657,52228.60755,41898.08293,62360.3187,5835.19752,23107.08571,38120.99296,29935.20323
649.0646@476.09,32916.39988,34360.99052,34132.29156,49549.33296,41747.60055,50035.81919,37733.50902,37601.54548,35839.37618,34849.96529,48975.29742,43242.26307,31009.50831,44229.09228,38102.84603,28927.03939,29290.18313,44210.08478,38080.98561,32662.53205,28844.4408,33683.08126,31468.56488,27061.1964,33185.60492,34010.21794,33041.67965,33489.16506,39879.12821,38491.747
933.7225@512.86,426901.75333,463697.80416,485701.12646,519613.72648,452857.19622,474912.10601,422268.18122,490147.15311,484507.07813,480854.5433,501598.98257,463862.12543,391078.77051,502142.25583,497573.72366,376746.37273,375312.60059,533641.7828,459970.18866,464868.0343,367895.97139,472040.86556,447913.55322,354580.41673,461947.9345,423532.86911,461522.13725,470365.48316,487688.62254,511391.62831
415.2243@391.22,271629.27462,214715.56339,255434.93058,233022.65322,127687.90157,182378.10938,267689.10596,179887.17717,315995.33492,215621.16001,170310.73151,201492.1097,282896.54481,192377.40095,272002.54238,289081.79013,240446.42377,181182.80763,308381.19248,228711.66144,246433.95579,293474.59769,235100.22333,307231.15311,247547.22757,294894.35432,243902.25313,159324.25545,240282.47038,238288.64825
662.984@516.87,49638.96445,52408.55786,51986.51479,88192.63288,63589.67358,89045.16599,60225.86959,60675.98041,55742.11368,54701.30397,86488.82077,65797.64436,44837.22953,78884.18643,60986.69079,43712.19668,43430.65458,76863.21489,56826.90872,49237.09407,44483.03815,51486.09871,46489.03178,45248.72452,51388.07621,52139.36287,45601.44394,49135.80879,62045.18459,63803.97175
652.0064@526.95,14980.71005,37756.05852,38179.47387,67434.7758,46685.49691,63420.72204,39170.54592,42353.86229,41392.2626,41408.51385,63616.81778,43579.9503,31088.1306,55472.43526,45368.98275,30974.77544,31555.7276,60309.84688,37999.63701,36159.29798,31019.9966,43947.69897,33290.27949,29815.31002,42397.31419,35747.58418,15739.15753,37062.9953,46882.89915,50173.1377
651.0028@526.01,244075.99713,244212.08084,246859.22434,454500.61782,290539.60743,422196.45345,272774.64434,287260.41868,269333.59709,269689.64786,425646.93283,291525.08109,201901.1597,371082.37395,301344.45923,195108.40228,193576.66335,380847.99437,246788.44692,234496.69776,204524.27126,267737.22233,217523.00722,197301.01297,254569.41738,233053.08363,238120.63723,235853.99962,296509.5658,320651.9901
339.7949@647.59,13015.68153,11046.47924,12774.69914,17615.88813,13332.47154,16485.98089,11027.7432,13470.55452,11891.17136,12529.68759,15282.13668,12204.06538,12420.29359,14684.92491,11971.8786,13091.28764,5392.43981,14909.41516,12988.85634,12988.04742,11897.5454,12286.75737,13769.34333,13061.60145,11919.24029,13928.55578,11663.4975,13042.22777,12282.99539,13406.55997
655.4761@488.09,16626.26109,22020.76976,2264.05904,13038.38891,23637.48928,22044.63644,22733.86804,15215.76696,6778.20609,22897.70637,13491.58506,48192.67306,15527.64084,16178.7264,14879.22225,8016.16155,12961.61714,16387.53354,5165.24542,5702.91071,19742.78033,9821.36802,902.96884,19340.19866,11816.06327,23613.93548,1087.3625,10286.95509,14619.92273,13536.67048
876.7071@514.98,276073.67681,300051.77666,303899.27932,325877.00403,285480.00474,333197.89474,327017.71488,328561.0435,321550.15954,315155.71954,333265.47389,309816.5284,249350.23314,336564.41385,285066.36504,245506.66605,251422.90809,341240.73107,294007.35619,291550.97707,190690.68427,301205.95459,296556.86423,230537.5385,292898.33585,284571.3001,277111.62348,284433.92179,304097.12469,332769.68239
310.2826@532.64,453157.64435,449053.8004,94310.26607,455644.26025,305977.4243,652656.57049,554402.01076,287245.54319,106333.13206,402687.23421,404333.36945,731142.33999,173835.34863,602551.53541,441013.75712,124029.82403,233344.63802,284686.89252,100703.10912,117284.24781,334852.0618,220445.00826,34466.92933,422191.40999,381327.74142,580985.16089,39897.84983,138571.94978,241489.02599,220495.44602
645.032@493.31,45414.41365,52819.81035,57988.72826,80332.83206,60081.00289,79226.23191,57438.17176,55035.73701,62643.52776,48127.87124,70947.8692,62744.72239,44563.1088,71023.74661,60535.14431,36572.09295,44379.84465,71952.43929,59780.88388,46517.76105,42794.09078,46991.40612,46144.41219,40329.46254,45475.49409,53534.6868,48495.60539,43724.89277,62562.41233,66177.22789
