,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
117.9278@635.53,8412808.82496,7578025.53822,7989017.30493,4229713.5907,5775194.27341,4339453.45879,6072746.9659,6240170.86246,6700280.02028,7591998.16576,4570642.11902,5710267.0001,8141992.13191,5167932.93402,6379221.78369,8419960.31083,8626052.53354,5163643.3935,6373813.82604,8077890.68812,8578584.07364,8211971.60638,8466558.76711,8552132.16161,7868512.76855,6949391.50183,8341343.23921,8470132.97797,6268579.05,5777549.6824
118.9268@635.75,3027934.93198,2853201.94827,3020187.48649,1438255.68892,2192481.05239,1515997.66077,2168740.87924,2268369.91946,2462048.23163,2849368.84153,1631363.04793,2077523.29615,3084083.94991,1890699.57101,1871887.65663,3214073.7845,3246307.8803,1874670.29495,2331512.19896,2931389.41152,3272572.32981,2941745.13996,2965984.75708,3140141.61973,3015754.81314,2575522.05439,3184618.0925,3046838.10005,2062361.0954,2057401.43251
121.0285@521.69,316383.86124,218675.75773,259136.67169,309660.69827,223751.67025,233548.00268,251565.04962,265196.76834,251805.87855,157210.5074,273212.62725,257609.62547,293106.43754,284178.99521,230457.5209,257916.31775,329732.15498,279923.55404,249222.11109,274832.31941,248398.08947,272885.9797,243372.11298,291498.46095,242809.14377,299598.61779,265744.59057,262178.52893,260763.31132,222613.20818
122.9685@637.36,532075.60105,452548.553,484933.23638,206553.50644,298509.26683,198170.25741,307680.85456,348595.04258,391284.63452,458653.42442,233903.79978,296639.43664,510342.68894,275987.74701,345562.41912,476089.34608,483373.28107,277414.72628,354676.94851,488682.56528,477799.81984,511027.54414,493687.59705,484978.29846,502994.39116,438714.28537,499437.38178,483941.18893,327852.75639,300823.20385
123.901@138.35,423585.0607,424608.14558,447863.17625,664011.80618,468760.13619,540109.50037,549259.2233,422866.8806,456649.25857,419118.34729,500743.23092,504501.54405,403149.64065,454552.86821,501741.93931,419754.94587,427605.61369,474634.9352,452664.87518,446768.94062,412314.82891,392008.37938,389938.21862,446470.4805,408360.43485,447944.89198,400195.05307,375030.66845,470655.13746,461976.2247
123.9359@637.45,17459.11835,17120.20956,17820.32839,7930.21587,10984.15264,547557.16988,12329.60381,12558.92944,15822.96782,16410.16967,9854.71792,11402.74164,19457.6175,458649.17828,12901.92998,16339.73009,18654.32327,10385.08837,13085.02024,18004.73535,17033.00346,16593.78048,18540.97173,18078.08693,18506.10128,16752.09293,16308.4708,16991.75248,11819.8239,10654.38106
124.9655@637.36,12277.00966,10548.06149,11715.68335,4985.17043,7426.44367,5579.24694,6500.61603,8051.63958,9021.15933,11152.63108,5029.83644,6782.28887,11840.37953,6820.89589,7029.67403,11597.26252,10642.93147,6960.21198,8582.38261,11069.98269,11487.68381,12162.34056,11494.03778,10613.06587,10049.48725,10478.50547,3542.35697,10630.28475,7477.27078,7352.10685
125.8988@638.07,225603.12726,247932.96312,262804.98242,472422.81405,356180.95655,458627.83752,308613.25751,319599.12525,239830.94118,260172.81289,405311.32538,306693.73661,212703.7731,53220.99095,286037.43865,190017.39445,195821.39269,350469.34476,306625.13481,242714.14208,182473.71847,216677.40123,191147.4172,175440.28565,250182.4979,276216.32694,198656.36927,213078.04071,326863.39219,323627.28262
127.0003@641.56,41669.4706,45719.86389,44155.77577,19349.56886,60651.38463,60126.34455,2663.15467,50354.0484,43969.14727,39633.45168,2849.76927,40545.80292,41981.94491,65035.15379,52505.20868,41652.46577,42716.06565,57104.00731,49618.33004,40595.31974,43385.79366,40567.17218,45904.67918,42581.30422,41615.97265,40102.12123,41627.59233,41013.91419,55406.25805,19176.32219
127.0011@31.73,265638.75515,22516.37999,276792.5217,319024.00149,297465.10664,22490.14495,296377.26402,292146.1809,297467.34418,272463.58832,293067.68921,263660.47173,258790.75168,304579.94453,290763.12077,292409.0572,270475.429,280691.11386,278934.75721,214512.65385,279645.03085,278706.61446,175302.42861,296149.47228,277888.03061,304088.01074,138391.30039,210512.79704,274964.75146,293781.55046
